Family,Genome,Source information,Accession,Date completed,Date updated,Genome length,Number of proteins,Host
Adenoviridae,Bat adenovirus 2,strain:PPV1; serotype:2,NC_015932,09/02/2011,08/13/2018,31616 nt,30,vertebrates
Adenoviridae,Bat adenovirus TJM,strain:TJM,NC_016895,02/26/2012,08/13/2018,31806 nt,30,vertebrates
Adenoviridae,Bat mastadenovirus G,isolate:250-A,NC_031948,11/17/2016,02/23/2019,31481 nt,32,vertebrates
Adenoviridae,Bat mastadenovirus WIV18,isolate:WIV18,NC_035072,09/21/2017,08/13/2018,29812 nt,30,vertebrates
Adenoviridae,Bat mastadenovirus WIV10,isolate:WIV10,NC_029899,04/20/2016,08/13/2018,37556 nt,33,vertebrates
Adenoviridae,Bat mastadenovirus WIV11,isolate:WIV11,NC_029902,04/20/2016,08/13/2018,38073 nt,33,vertebrates
Adenoviridae,Bat mastadenovirus WIV9,isolate:WIV9,NC_029898,04/20/2016,08/13/2018,37545 nt,33,vertebrates
Adenoviridae,Bat mastadenovirus WIV12,isolate:WIV12,NC_030860,09/09/2016,08/13/2018,29581 nt,28,vertebrates
Adenoviridae,Bat mastadenovirus WIV13,isolate:WIV13,NC_030874,09/09/2016,08/13/2018,29162 nt,27,vertebrates
Adenoviridae,Bat mastadenovirus WIV17,isolate:WIV17,NC_034626,05/24/2017,08/13/2018,29923 nt,29,vertebrates
Adenoviridae,Bottlenose dolphin adenovirus 1,strain:Tt11018,NC_038333,08/24/2018,08/24/2018,29474 nt,28,vertebrates
Adenoviridae,Bovine adenovirus 10,isolate:Ma268,NC_043093,06/28/2019,06/28/2019,571 nt,1,vertebrates
Adenoviridae,Bovine adenovirus 2,-,NC_002513,08/15/2000,08/13/2018,33034 nt,11,vertebrates
Adenoviridae,Bovine adenovirus 3,strain:WBR-1,NC_001876,03/06/1998,08/13/2018,34446 nt,28,vertebrates
Adenoviridae,Bovine adenovirus 6,strain:671130; serotype:Bovine adenovirus E,NC_020074,01/04/2013,08/13/2018,30024 nt,30,vertebrates
Adenoviridae,Bovine atadenovirus D,strain:THT/62; serotype:4,NC_002685,11/27/1997,08/13/2018,31301 nt,36,vertebrates
Adenoviridae,California sea lion adenovirus 1,strain:Zc11-030,NC_024150,05/28/2014,08/13/2018,31709 nt,30,vertebrates
Adenoviridae,Canine mastadenovirus A,type:1; isolate:RI261,NC_001734,09/05/1996,08/13/2018,30536 nt,30,vertebrates
Adenoviridae,Chimpanzee adenovirus Y25,-,NC_017825,05/04/2012,08/13/2018,36711 nt,31,vertebrates
Adenoviridae,Human mastadenovirus E,strain:vaccine (CL 68578); serotype:human adenovirus 4,NC_003266,11/27/2001,08/13/2018,35994 nt,37,vertebrates
Adenoviridae,Cynomolgus adenovirus 1,isolate:UK/UK-1/2004,NC_034382,04/26/2017,08/25/2018,35555 nt,32,vertebrates
Adenoviridae,Deer mastadenovirus B,isolate:1319,NC_034834,05/30/2017,02/23/2019,33945 nt,28,vertebrates
Adenoviridae,Duck adenovirus 2,strain:GR,NC_024486,07/24/2014,08/13/2018,43734 nt,36,vertebrates
Adenoviridae,Duck atadenovirus A,strain:127; serotype:Duck adenovirus 1,NC_001813,05/31/1997,08/13/2018,33213 nt,29,vertebrates
Adenoviridae,Equine adenovirus 1,strain:M1,NC_030792,08/24/2016,08/13/2018,32690 nt,31,vertebrates
Adenoviridae,Equine adenovirus 2,isolate:EAdV2.385/75.9,NC_027705,08/18/2015,08/13/2018,33090 nt,34,vertebrates
Adenoviridae,Falconid adenovirus 1,-,NC_043092,06/28/2019,06/28/2019,1276 nt,1,vertebrates
